report_ticker,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled,n_days
KXLIGAMXSPREAD,-265050.03,-342991.1,77941.07,0.0,8297709,52
KXLLM1,-68637.73,-93042.4,24404.67,6414.07,8178651,111
KXLOLTOTALMAPS,-16581.0,-117324.89,100743.89,0.0,8149037,112
KXMLSSPREAD,-41861.7,-120426.59,78564.89,0.0,8128373,63
KXPERUPRES,-248429.9,-307988.51,59558.61,0.0,8095082,80
KXGOLDH,103997.98,17705.75,86292.23,0.0,8086575,23
KXINTLFRIENDLYSPREAD,-188714.85,-282490.3,93775.45,0.0,8006755,11
KXGOVCAPRIMARY,195196.92,141528.2,53668.72,0.0,7932177,56
KXHIGHTATL,35691.19,-12758.54,48449.73,0.0,7920153,112
KXBSLGAME,-58450.1,-147064.66,88614.56,0.0,7855002,53
KXHIGHTSEA,-62969.17,-119240.67,56271.5,0.0,7831843,113
KXWCCONTINENT,-192279.7,-261699.87,69420.17,0.0,7626318,84
KXHIGHTBOS,69815.62,21738.4,48077.22,0.0,7567597,112
KXCFLGAME,-20474.07,-107959.62,87485.55,0.0,7291891,55
KXBERNIEMENTION,-63197.36,-107254.61,44057.25,0.0,7270123,39
KXTEAMSINNBAF,155110.83,94888.63,60222.2,0.0,7265045,46
KXLALIGARELEGATION,-1165475.11,-1234860.24,69385.13,0.0,7218166,40
KXUECLADVANCE,-85033.74,-134472.89,49439.15,0.0,7213515,13
KXTEMPLAXH,152188.63,113273.95,38914.68,0.0,7176065,29
KXFEATUREDRAKE,-231251.0,-285577.16,54326.16,0.0,7141803,31
KXDENSUPERLIGAGAME,-4390.28,-70097.88,65707.6,0.0,7133679,39
KXNBA2HSPREAD,-436796.7,-531461.8,94665.1,0.0,7018611,56
KXLNBELITEGAME,-130125.28,-200378.98,70253.7,0.0,6989464,52
KXWCGROUPQUAL,62998.13,-3282.42,66280.55,0.0,6972990,75
KXHIGHTDAL,-16756.48,-62093.3,45336.82,0.0,6969637,113
KXUFCROUNDS,-60771.61,-126558.01,65786.4,0.0,6968360,44
KXTRUMPPHOTO,-153992.51,-179806.85,25814.34,0.0,6932547,104
KXBRASILEIROCGAME,-57646.43,-121036.91,63390.48,0.0,6872740,20
KXLIVTOUR,17692.27,-29261.16,46953.43,0.0,6855454,36
KXNBAAST,-317403.21,-406155.35,88752.14,0.0,6816761,60
KXUFLGAME,-59685.5,-142095.45,82409.95,0.0,6712995,57
KXHIGHDEN,23388.26,-25802.53,49190.79,0.0,6687730,113
KXBUNDESLIGA2GAME,-43772.79,-95002.39,51229.6,0.0,6655564,25
KXLAMAYORADVANCE,-1004607.98,-1060621.21,56013.23,0.0,6585229,29
KXTOPMODEL,-116416.5,-138101.14,21684.64,0.0,6574510,111
KXNBADRAFTPICK,-36639.05,-86200.02,49560.97,0.0,6440862,71
KXWTIH,103449.54,33644.23,69805.31,0.0,6429062,21
KXSCOTTISHPREMGAME,-21210.4,-77565.28,56354.88,0.0,6410947,30
KXWORLDCUPHALFTIME,-145549.21,-182165.37,36616.16,0.0,6409781,82
KXMLBF3,-71656.11,-140509.02,68852.91,0.0,6376467,35
KXFEDCHAIRCONFIRM,-24102.62,-27837.47,3734.85,0.0,6375055,29
KXUFCMOF,17138.4,-45764.32,62902.72,0.0,6313869,43
KXLOVEISLANDUSARANK,-163394.86,-197966.57,34571.71,0.0,6231145,45
KXPGAMAKECUT,23014.86,-48768.64,71783.5,0.0,6220553,89
KXMAMDANIMENTION,12029.58,-13344.7,25374.28,0.0,6191648,96
KXGOVTSHUTLENGTH,-94533.24,-130107.58,35574.34,0.0,6131995,17
KXLALIGASPREAD,-78680.46,-140950.94,62270.48,0.0,6119292,39
KXMETGALA,-79956.66,-107025.25,27068.59,0.0,6080595,21
KXFIGHTMENTION,-158456.5,-202250.91,43794.41,0.0,6008039,53
KXINX,-83737.21,-114289.69,30552.48,0.0,5975959,111
KXSENATETXR,-35751.11,-72271.71,36520.6,0.0,5963990,42
KXNETFLIXRANKSHOW,-138732.49,-161052.32,22319.83,0.0,5845010,111
KXNATGASD,143465.93,84851.26,58614.67,0.0,5819702,110
KXXRPD,-126915.31,-162596.97,35681.66,0.0,5807861,113
KXCZEFLGAME,115479.41,69496.32,45983.09,0.0,5783401,32
KXPGA3BALL,-91022.45,-169496.87,78474.42,0.0,5762553,54
KXTRUMPSAYMONTH,-29782.05,-41234.65,11452.6,0.0,5709689,103
KXCODMAP,-983.5,-63286.51,62303.01,0.0,5671620,70
KXSILVERD,32090.41,-19700.55,51790.96,0.0,5646639,110
KXBUNDESLIGATOTAL,65390.03,-8925.41,74315.44,0.0,5645965,36
KXNBAOVERTIME,-167533.2,-196572.46,29039.26,0.0,5644178,58
KXALLSVENSKANTOTAL,-22665.34,-81765.02,59099.68,0.0,5545433,19
KXSILVERH,85365.75,36223.63,49142.12,0.0,5504259,23
KXHIGHTLV,-23283.94,-59359.63,36075.69,0.0,5408010,113
KXLNBPGAME,-129438.7,-182399.08,52960.38,0.0,5404832,14
KXHIGHPHIL,-618.74,-37334.57,36715.83,0.0,5368131,113
KXBRENTW,-230741.92,-282916.12,52174.2,0.0,5302978,108
KXWC3RDPLACE,-281204.7,-339622.94,58418.24,0.0,5293665,47
KXUELTOTAL,-59939.07,-124537.21,64598.14,0.0,5278718,36
KXNATHANSHDOU,-79583.51,-129551.17,49967.66,0.0,5198054,7
KXTEMPCHIH,86050.69,66732.71,19317.98,0.0,5187145,30
KXNATHANSHD,-94361.37,-106303.83,11942.46,0.0,4954522,7
KXKFTOUR,-174877.91,-209492.88,34614.96,0.0,4857910,69
KXVIRGINIAREDISTRICTING,-38056.82,-51044.89,12988.07,0.0,4840979,7
KXEREDIVISIEGAME,70899.11,31969.66,38929.45,0.0,4839431,33
KXHIGHTHOU,-10936.53,-41226.45,30289.92,0.0,4835620,113
KXNBADRAFT1,-33484.03,-63872.09,30388.06,0.0,4807562,70
