date,report_ticker,side,contracts_settled,notional_settled
2026-04-15,KXNDALR,yes,5,0.25
2026-04-15,KXNCAAMLAXGAME,yes,2590,1098.2
2026-04-15,KXNCAAMLAXGAME,no,173,54.6
2026-04-15,KXNCAALAXFINAL,yes,5246,740.74
2026-04-15,KXNCAALAXFINAL,no,558,477.21
2026-04-15,KXNCAABBGS,yes,20,1.8
2026-04-15,KXNCAABBGAME,yes,97713,45027.44
2026-04-15,KXNCAABBGAME,no,38528,35400.5
2026-04-15,KXNCAABASEBALL,no,6340,5914.03
2026-04-15,KXNBASERIESGAMES,no,1646,889.77
2026-04-15,KXNBASERIES,yes,347051,123661.5
2026-04-15,KXNBASERIES,no,41949,26245.23
2026-04-15,KXNBADRAFTPICK,no,79,67.35
2026-04-15,KXNBADRAFTCOMP,no,12,1.68
2026-04-15,KXNBADRAFTCAT,no,51,5.79
2026-04-15,KXNBADRAFT1,yes,1365,210.55
2026-04-15,KXNBADRAFT1,no,872,375.02
2026-04-15,KXNBADPOY,yes,1154,11.54
2026-04-15,KXNBADPOY,no,2581,25.81
2026-04-15,KXNBACOY,yes,66213,16933.32
2026-04-15,KXNBACOY,no,74341,23099.94
2026-04-15,KXNBACLUTCH,yes,1698,694.66
2026-04-15,KXNBACLUTCH,no,160,6.41
2026-04-15,KXNBABLK,yes,5440,2833.0
2026-04-15,KXNBABLK,no,595,283.48
2026-04-15,KXNBAAST,yes,75894,39087.43
2026-04-15,KXNBAAST,no,12438,6137.56
2026-04-15,KXNBA3RDTEAM,yes,3,1.92
2026-04-15,KXNBA3RDTEAM,no,12,7.2
2026-04-15,KXNBA3PT,yes,141150,73576.72
2026-04-15,KXNBA3PT,no,18144,4570.9
2026-04-15,KXNBA3D,yes,14810,883.53
2026-04-15,KXNBA3D,no,723,703.14
2026-04-15,KXNBA2NDTEAMDEF,yes,670,293.59
2026-04-15,KXNBA2NDTEAMDEF,no,63,46.71
2026-04-15,KXNBA2NDTEAM,yes,6997,393.68
2026-04-15,KXNBA2NDTEAM,no,376,171.62
2026-04-15,KXNBADRAFTPICK,yes,270,30.32
2026-04-15,KXNBADRAFTTOP,no,1147,831.08
2026-04-15,KXNBADRAFTTOP,yes,2165,315.76
2026-04-15,KXNBAEAST,no,73442,65275.55
2026-04-15,KXNBAROY,yes,441087,161959.64
2026-04-15,KXNBAROY,no,139893,74271.42
