date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-03-08,Entertainment,20870.54,11355.33,9515.21,0.0,1924542
2026-03-08,Financials,-19143.4,-20546.63,1403.23,0.0,191784
2026-03-08,Mentions,-108009.36,-123312.32,15302.96,0.0,4577567
2026-03-08,Non-parlay sports,-3892284.82,-7487053.85,3594769.03,730583.8,326818486
2026-03-08,Other non-sports,-43.15,-50.71,7.56,0.0,6265
2026-03-08,Parlays,-1306849.44,-1686011.84,379162.4,0.0,66751678
2026-03-08,Politics,-36271.86,-44548.14,8276.28,0.0,1851834
2026-03-08,Science and Technology,-2134.22,-2292.19,157.97,10.75,171072
2026-03-09,Climate and Weather,-3449.03,-18363.14,14914.11,0.0,2582667
2026-03-09,Companies,85.45,77.39,8.06,0.71,2284
2026-03-09,Crypto,-320580.06,-674807.41,354227.35,0.0,36739086
2026-03-09,Economics,-14060.99,-17891.45,3830.46,692.76,1324947
2026-03-09,Elections,569.66,144.29,425.37,0.0,55697
2026-03-09,Entertainment,7575.23,-6587.8,14163.03,0.0,2335658
2026-03-09,Financials,1347.01,-6861.46,8208.47,0.0,1190469
2026-03-09,Mentions,-4126.79,-27117.3,22990.51,0.0,3532126
2026-03-09,Non-parlay sports,-3259930.16,-5692922.67,2432992.51,428449.19,216020686
2026-03-09,Other non-sports,-184.37,-199.95,15.58,0.0,16180
2026-03-09,Parlays,-570131.86,-816559.05,246427.19,0.0,31184913
2026-03-09,Politics,-49048.76,-53470.94,4422.18,0.0,998298
2026-03-09,Science and Technology,-1404.79,-1525.42,120.63,5.87,99453
2026-03-10,Climate and Weather,-25078.54,-41412.45,16333.91,0.0,4248863
2026-03-10,Companies,-43.47,-71.79,28.32,1.41,4797
2026-03-10,Crypto,-323573.92,-702137.52,378563.6,0.0,38096076
2026-03-10,Economics,-18576.68,-24389.86,5813.18,1025.42,1090500
2026-03-10,Elections,-2525.72,-3085.36,559.64,0.0,56178
2026-03-10,Entertainment,18562.64,3902.76,14659.88,0.0,2154030
2026-03-10,Financials,-6245.87,-17917.66,11671.79,0.0,1588043
2026-03-10,Mentions,-120203.42,-144521.59,24318.17,0.0,4346788
2026-03-10,Non-parlay sports,-2369438.47,-5363425.21,2993986.74,531059.43,262206117
2026-03-10,Other non-sports,8.89,5.27,3.62,0.0,1630
2026-03-10,Parlays,-708733.61,-1041633.29,332899.68,0.0,51754362
2026-03-10,Politics,-8499.21,-10616.19,2116.98,0.0,928960
2026-03-10,Science and Technology,-769.65,-832.67,63.02,6.93,31938
2026-03-11,Climate and Weather,-63720.46,-84219.7,20499.24,0.0,4030741
2026-03-11,Companies,-116.02,-124.56,8.54,0.0,3130
2026-03-11,Crypto,-251854.93,-589147.74,337292.81,0.0,34292158
2026-03-11,Economics,2081.85,-3135.47,5217.32,836.54,2313798
2026-03-11,Elections,-1491.98,-2323.8,831.82,0.0,82719
2026-03-11,Entertainment,-36266.3,-51886.48,15620.18,0.0,2267930
2026-03-11,Financials,28821.18,19646.32,9174.86,0.0,1188491
2026-03-11,Mentions,-100809.11,-127444.16,26635.05,0.0,3744766
2026-03-11,Non-parlay sports,-5208628.17,-8568609.42,3359981.25,653740.63,298805099
2026-03-11,Other non-sports,186.07,165.98,20.09,0.0,7397
2026-03-11,Parlays,-774069.5,-1131014.0,356944.5,0.0,51136873
2026-03-11,Politics,-387.77,-1850.07,1462.3,0.0,314430
2026-03-11,Science and Technology,4315.33,4225.96,89.37,6.71,47288
2026-03-12,Climate and Weather,-25255.55,-38934.39,13678.84,0.0,3480334
2026-03-12,Companies,-298.2,-318.11,19.91,0.0,2939
2026-03-12,Crypto,-188926.79,-445612.07,256685.28,0.0,26191513
2026-03-12,Economics,-9403.09,-12321.12,2918.03,317.58,2053127
2026-03-12,Elections,-9608.17,-10531.74,923.57,0.0,66873
2026-03-12,Entertainment,-475.62,-20509.49,20033.87,0.0,2805516
2026-03-12,Financials,-9370.57,-17955.25,8584.68,0.0,1284920
2026-03-12,Mentions,-50113.09,-69894.33,19781.24,0.0,2705681
2026-03-12,Non-parlay sports,-1822142.5,-5057484.65,3235342.15,675839.38,305434373
2026-03-12,Other non-sports,2.37,0.52,1.85,0.0,1372
2026-03-12,Parlays,1204448.7,870319.25,334129.45,0.0,46248594
2026-03-12,Politics,-10819.16,-12222.33,1403.17,0.0,222862
2026-03-12,Science and Technology,9217.4,8935.87,281.53,5.36,81218
2026-03-13,Climate and Weather,-51565.35,-65526.79,13961.44,0.0,2816834
2026-03-13,Companies,-11.49,-13.3,1.81,0.0,407
2026-03-13,Crypto,-119538.94,-520757.46,401218.52,0.0,40291235
2026-03-13,Economics,-10008.93,-12115.12,2106.19,161.15,1168304
2026-03-13,Elections,3539.9,2141.23,1398.67,0.0,101708
2026-03-13,Entertainment,-18275.35,-40058.97,21783.62,0.0,3155105
2026-03-13,Financials,4385.52,-4908.18,9293.7,0.0,1409850
2026-03-13,Mentions,-78637.94,-92221.53,13583.59,0.0,2187683
2026-03-13,Non-parlay sports,-409474.23,-3761905.54,3352431.31,689483.52,309075587
2026-03-13,Other non-sports,2.33,-1.69,4.02,0.0,2154
2026-03-13,Parlays,1041324.05,675687.12,365636.93,0.0,67892208
2026-03-13,Politics,-7385.76,-9480.74,2094.98,0.0,427205
2026-03-13,Science and Technology,-1127.04,-1244.12,117.08,7.39,121008
2026-03-14,Climate and Weather,-16733.6,-29519.98,12786.38,0.0,2344193
2026-03-14,Companies,-58.79,-63.23,4.44,0.0,747
2026-03-14,Crypto,-92318.8,-342657.29,250338.49,0.0,26103527
2026-03-14,Economics,-4696.44,-7192.97,2496.53,113.49,912673
2026-03-14,Elections,-7781.05,-8543.35,762.3,0.0,56620
2026-03-14,Entertainment,-35208.7,-70373.86,35165.16,0.0,5348517
2026-03-14,Financials,-203.77,-906.37,702.6,0.0,68577
2026-03-14,Mentions,-38526.92,-43109.78,4582.86,0.0,957754
