group,price_bin,n_trades,n_contracts,sum_price,yes_trades,yes_contracts,actual_win_rate,actual_win_rate_wt,implied_prob,calib_error,calib_error_qty,n_events,n_contracts_distinct,n_settle_days,g_eff,se_event_cents,se_event_cents_qty,se_day_cents,se_naive_cents,significant_2se
ALL,65,296781,45140104,19796220,214029,37088503,0.7211681340786641,0.8216308717410132,0.6670312452616576,0.05413688881706177,0.15586949622448293,8880,22545,487,20.281452940291008,6.481107008118175,8.646593065566725,6.45298829932373,0.08257456489689469,0
ALL,70,241533,32360422,17366120,176558,26370373,0.7309891402003039,0.8148958317045433,0.7189957479930279,0.01199339220725657,0.09637802003942965,8870,22766,480,156.3518366937858,2.2589810655808353,4.962743726558627,2.194924646971853,0.09018720585838064,0
ALL,75,230274,33989311,17720947,176191,29100236,0.7651363158671843,0.856158455227292,0.7695591773278789,-0.004422861460691107,0.0841455450509064,8962,23719,483,538.7409658875276,1.1925587632790966,4.34262531115562,1.1178825966129644,0.08823358763216077,0
ALL,80,228758,30370612,18720906,187031,26563542,0.8175932644978536,0.8746462534241983,0.8183716416475052,-0.0007783771496510706,0.0568961211581781,9096,24630,478,391.85539230189016,1.131067151403521,3.0986891014767304,1.1625360269230536,0.08070787554570213,0
ALL,85,234179,34199657,20369633,203040,30910295,0.8670290675081882,0.9038188599376888,0.8698317526336691,-0.002802685125481075,0.03291220347619349,9065,25882,477,638.9936606335654,0.7945023107364237,2.3503557298951665,0.8287010526622652,0.07009813755170863,0
ALL,90,251948,55516764,23161723,232902,53765797,0.9244050359598013,0.9684605716572385,0.9193056900630289,0.005099345896775843,0.04849088898625254,9124,27294,472,66.92808965234173,0.9725159183905393,1.25139432141174,0.9826855191972274,0.052565730705390966,0
ALL,95,357752,121597691,34822633,351316,120718488,0.9820098839419487,0.9927695748762203,0.9733735380934279,0.00863634584850381,0.01855144626060563,9295,31520,465,12.028930616783512,0.5343736929090043,0.451230209146079,0.5349775714097954,0.022145763997773894,0
ALL_EX_ELECTION,0,167966,35255261,489249,4181,723928,0.02489194241691771,0.020533899890856005,0.029127859209601942,-0.004235916792683718,-0.007228216804294601,8584,27016,446,748.9362189741494,0.25822637806313475,0.5721043722556554,0.2537836770850664,0.03794775307497036,0
ALL_EX_ELECTION,5,311652,45361263,2197298,20161,1924450,0.06469074480510313,0.0424249651073428,0.07050485798262164,-0.005814113177516397,-0.02751472153674275,9470,32449,466,823.6551394428149,0.4442601829203735,0.8013987693346176,0.4393881294463824,0.04404156245043843,0
ALL_EX_ELECTION,10,323576,43078532,3844638,33480,2928216,0.10346873686552772,0.06797390403182726,0.11881715578411255,-0.015348418918587032,-0.050497704517878196,9540,31798,472,542.4684228152413,0.5892284353409504,1.6161129603198665,0.579582869345955,0.053520359284796565,1
ALL_EX_ELECTION,15,298725,35739585,5052003,44847,4378389,0.15012804418779815,0.122508109705247,0.16911885513432087,-0.018990810946522673,-0.047376126779312015,9374,28491,479,708.0289000730406,0.8298835333984385,2.386487458593601,0.8599324471829486,0.06532915968041395,1
ALL_EX_ELECTION,20,282255,30950107,6174352,56598,5317885,0.2005208056544614,0.17182121535153336,0.21875084586632654,-0.018230040211881494,-0.047028872953493,9302,27259,479,604.0637351168965,1.0515917909223127,2.704514168144944,0.979974349795977,0.07533123055889064,0
ALL_EX_ELECTION,25,279469,30870460,7518223,69931,6568886,0.25022811116796495,0.21278873071538293,0.2690181379687908,-0.018790026800818226,-0.05682360256374746,9123,25565,483,504.5152389780221,1.4735017170029288,3.423331777049892,1.2910959675529292,0.081907207158596,0
ALL_EX_ELECTION,30,280136,32707399,8948450,88220,9881064,0.3149184681726019,0.3021048540117788,0.3194323471456721,-0.00451387897305518,-0.018134367394973434,9027,24746,485,258.42609885589184,3.043781405307789,7.187461528195289,2.923566364650881,0.08762437146318255,0
ALL_EX_ELECTION,35,266059,30361753,9823897,89858,8878691,0.33773711845868776,0.2924301175890602,0.3692375375386662,-0.031500419079972364,-0.07680544334841086,8885,23357,489,224.12346309048732,2.625605187128933,5.654242582828,2.504795296261525,0.09174349363274391,0
ALL_EX_ELECTION,40,252952,29191516,10595451,98835,10586013,0.3907263038046744,0.36264005610397215,0.418871999430722,-0.028145695626058096,-0.056716684395561594,8861,22903,491,237.2653262793816,2.159342853449991,4.572630675547253,2.2971574728141935,0.09696497439891999,0
ALL_EX_ELECTION,45,254583,33224933,11952557,111464,13965531,0.4378297058326754,0.42033285665316467,0.4694954887011309,-0.031665782868469404,-0.04971857399983405,8805,22310,487,100.30287479636544,3.644277007439585,7.435295516261718,3.685956509933442,0.09805041132398142,0
ALL_EX_ELECTION,50,236525,27947161,12263640,118893,13751363,0.5026656801606596,0.49204865567561584,0.5184923369622662,-0.015826656801594813,-0.02700587512269909,8826,22680,494,178.14286721162208,1.2199037381981244,2.854203190014771,1.1301227768569022,0.10270632528427508,0
ALL_EX_ELECTION,55,231900,28177958,13200812,128256,16181382,0.553065976714101,0.5742567293201303,0.5692458818456231,-0.016179905131504507,0.004729961979502715,8706,21856,487,233.7245837122798,2.25165772687823,5.374358373537412,2.4924893364969014,0.10326526720715642,0
