report_ticker,is_sports,days_active,trades,contracts,yes_side_notional_volume,fees
CNGDP,FALSE,17,224,7255,5971.86,72.51
KXBBFARTIST,FALSE,2,51,7254,5603.6,23.87
KXNBASERIESGCOMEBACK,TRUE,4,137,7243,1165.12,59.16
KXDONATEBEASTWATER,FALSE,16,202,7241,1470.29,66.3
METACRITICERDTREE,FALSE,63,183,7240,4566.51,90.05
AOH1996,FALSE,88,154,7236,2355.4,77.33
KXACMADOTY,FALSE,16,100,7221,2372.34,62.29
EUEXPANSION,FALSE,123,231,7220,4928.1,106.21
KXAPPSTOREIPHONEGAME,FALSE,4,69,7190,4929.35,50.14
KXWCMESSIRONALDO,TRUE,65,216,7179,3175.89,117.56
KXUEL16RSCFEN,TRUE,1,28,7178,4132.32,9.2
KXMOLDOVAMAJORITY,FALSE,9,58,7175,4126.15,85.14
KXLABORANNOUNCE,FALSE,19,87,7168,3027.78,109.2
KXICERENAME,FALSE,23,182,7166,2872.5,114.01
KXCLUBWCGE,TRUE,8,230,7160,2996.8,104.08
KXCITITOKEN,FALSE,50,131,7159,721.4,42.7
KXHOUTHILEAVE,FALSE,21,132,7152,597.15,37.21
KXSPOTIFYSONGSMOMMASONG,FALSE,7,157,7152,2151.44,64.18
KXNFLEXACTWINSNYJ,TRUE,30,64,7149,771.05,43.8
KXLEAVEGROUPKATSEYE,FALSE,35,176,7146,4175.1,112.78
KXJONJONESRETIREMENT,TRUE,17,209,7137,2509.14,104.33
OPENAIPROFIT,FALSE,49,82,7127,593.35,37.1
KXMWJUSTINCASE,FALSE,38,333,7126,2988.56,77.63
KXNEWSOMGUEST,FALSE,99,269,7121,1588.34,73.37
KXMACOS16,FALSE,16,148,7103,751.26,46.59
USDRUBMAX,FALSE,48,131,7101,4070.83,82.76
KXACMAASWOTY,FALSE,20,119,7098,3874.51,59.53
KXMCMETALGEARSOLIDDELTASNAKEEATER,FALSE,21,148,7083,4384.59,88.08
KXGOVRINOMR,FALSE,28,131,7079,3109.13,95.41
10Y2Y,FALSE,68,128,7073,932.43,51.9
KXSDSSEATS,FALSE,14,153,7072,2845.46,64.91
KXANIMEBAC,FALSE,45,309,7068,2311.33,83.52
GOVPARTYWV,FALSE,50,112,7060,1641.14,19.03
KXANIMEBC,FALSE,40,239,7051,2264.98,81.96
KXTOPARTISTTHIRDUSA,FALSE,14,140,7043,3261,33.03
SENATESD,FALSE,93,185,7019,3718.99,29.74
KXGRAMBARS,FALSE,16,79,7018,786.88,27.04
KXSENATEPAD,FALSE,32,196,7017,1211.17,66.63
KXAMAFPS,FALSE,6,110,6998,3407.77,49.87
KXCBRATEHIKE,FALSE,13,89,6994,4969.18,84.41
KXTARIFFSSTEEL,FALSE,25,234,6992,6251.67,45.94
KXANDYBYRONCOLDPLAY,FALSE,46,180,6988,914.77,52.8
KXMCBORDERLANDSFOUR,FALSE,31,214,6985,3423.48,86.25
KXFIRETRUMP,FALSE,6,66,6984,6817.28,11.45
KXBBTOP200,FALSE,2,57,6981,5025.99,19.38
KX1SONGLORDE,FALSE,70,262,6964,702.64,43.39
KXSHOWENDSIMPSONS,FALSE,107,307,6963,4928.41,92.5
KXWHATSONSTAGEBNP,FALSE,6,21,6960,4889.83,48.1
KXACQUIREMANU,TRUE,22,191,6955,2404.01,84.22
KXVMAALTERNATIVE,FALSE,14,83,6950,2347.69,78.47
KXGRAMBJIA,FALSE,10,60,6942,2414.04,52.95
KXSPOTIFYSONGSMONEYONMONEY,FALSE,6,150,6941,4980.19,68.34
KXLATINGRAMMYROTY,FALSE,7,46,6936,1580.98,58.01
KXFANATICSFESTATTEND,FALSE,16,112,6934,5765.37,35.91
KXNBADRAFTMATCHUP,TRUE,13,64,6906,3109.16,117.52
HOUSEAZ2,FALSE,55,114,6893,4237.51,103.3
KXPRESNIGERIA,FALSE,41,105,6877,3097.22,104.9
KXNEWMETAVR,FALSE,58,201,6876,1931.31,85.82
KXWAYMO,FALSE,3,51,6867,739.58,40.78
KXANIMEBAS,FALSE,43,179,6862,3095.72,72.53
SENATEAL,FALSE,80,154,6849,1079.54,20.72
KXIPOWHOOP,FALSE,78,249,6837,1213.08,65.7
KXANTIWEPTAX,FALSE,3,34,6825,1297.03,72.06
KXPHANTOMREV,FALSE,52,245,6811,2140.27,86.89
HURCATFL,FALSE,3,183,6808,1846.69,56.97
KXTRUMPCANBAN,FALSE,34,65,6793,344.44,22.52
KXCAFRAUD,FALSE,71,162,6792,1619.31,75.58
GOVPARTYSC,FALSE,46,120,6790,2226.01,36.08
NWEST,FALSE,67,128,6785,1336.29,65.22
KXWCGROUPGOALS,TRUE,17,156,6785,884.67,53.7
KXBETBM,FALSE,10,244,6784,1961.97,51.12
KXSHOWENDHAUNTEDHOTEL,FALSE,47,93,6782,2036.26,93.47
KXWCIRAN,FALSE,1,16,6779,6188.52,37.78
KXAWARDSCOUNTSEV,FALSE,17,96,6775,2479.52,28.98
